Query 2 - Top Resources
Generated at: 2026-05-16 19:31:37 IST
Hadoop run_id: 29
Pig run_id: 30
Hive run_id (successful): NONE
Hive last attempted run_id: 36
Hive note: current Hive environment did not produce result rows in q tables yet.

===== Hadoop-MapReduce =====
batch_id	resource_path	request_count	total_bytes	distinct_host_count
199526	/shuttle/missions/sts-71/images/images.html	5482	39849480	2268
199526	/images/launch-logo.gif	5442	8616390	2299
199526	/shuttle/missions/sts-71/mission-sts-71.html	5210	60186564	2008
199526	/images/ksclogosmall.gif	4136	13863890	1654
199526	/	4014	26626536	1526
199526	/shuttle/countdown/liftoff.html	3910	14476220	1318
199526	/shuttle/countdown/video/livevideo.gif	3890	229778452	1128
199526	/ksc.html	3500	23372496	1330
199526	/shuttle/missions/missions.html	3286	26933408	1271
199526	/images/launchmedium.gif	2666	29893266	1071
199526	/icons/menu.xbm	2044	987598	810
199527	/images/NASA-logosmall.gif	60138	40919160	19447
199527	/images/KSC-logosmall.gif	51612	54644744	18298
199527	/shuttle/countdown/count.gif	33836	1263572860	11874
199527	/shuttle/countdown/	33002	121599380	12004
199527	/images/MOSAIC-logosmall.gif	29468	9544722	9291
199527	/images/USA-logosmall.gif	29240	6111144	9194
199527	/images/ksclogo-medium.gif	28966	153618808	8817
199527	/images/WORLD-logosmall.gif	28928	17301678	9109
199527	/images/launch-logo.gif	20222	31217712	7481
199527	/ksc.html	20206	136497200	5505
199527	/shuttle/missions/sts-71/images/images.html	19760	140801496	7133
199527	/images/ksclogosmall.gif	19512	64259530	6974
199527	/shuttle/missions/sts-71/sts-71-patch-small.gif	18766	206460912	6019
199527	/shuttle/missions/sts-71/mission-sts-71.html	15750	192031316	5483
199527	/	15714	102926774	5164
199527	/shuttle/missions/missions.html	13262	107666180	4603
199527	/shuttle/countdown/liftoff.html	11424	45920838	3605
199527	/images/launchmedium.gif	10922	118980414	4002
199527	/history/apollo/images/footprint-logo.gif	9988	38167212	3461
199527	/icons/menu.xbm	9476	4642870	3346
199528	/images/NASA-logosmall.gif	75304	41538528	15357
199528	/images/KSC-logosmall.gif	49402	50047872	14540
199528	/images/MOSAIC-logosmall.gif	32882	10534986	9463
199528	/images/USA-logosmall.gif	32602	6728904	9392
199528	/images/ksclogo-medium.gif	32458	170383836	9026
199528	/images/WORLD-logosmall.gif	32372	19122696	9315
199528	/htbin/cdt_main.pl	29562	104266442	3506
199528	/history/apollo/images/apollo-logo1.gif	24712	26514492	7587
199528	/shuttle/countdown/count70.gif	23482	1016117612	6465
199528	/images/launch-logo.gif	23244	35027424	7211
199528	/ksc.html	22636	152599038	5403
199528	/shuttle/countdown/	20784	78529340	5835
199528	/shuttle/countdown/liftoff.html	20238	52221240	4448
199528	/images/ksclogosmall.gif	18656	60893520	6686
199528	/htbin/cdt_clock.pl	18330	13258212	1690
199528	/	17564	113910392	5504
199528	/shuttle/countdown/images/cdtclock.gif	17314	373585920	2227
199528	/shuttle/missions/sts-70/sts-70-patch-small.gif	14810	66544240	4936
199528	/shuttle/missions/sts-70/mission-sts-70.html	13956	187273702	4378
199528	/shuttle/missions/missions.html	13686	110974264	4703
199529	/images/NASA-logosmall.gif	42998	28998684	12450
199529	/images/KSC-logosmall.gif	40392	41347768	12273
199529	/images/MOSAIC-logosmall.gif	30370	9706620	8868
199529	/images/USA-logosmall.gif	30094	6193512	8810
199529	/images/WORLD-logosmall.gif	29900	17637516	8730
199529	/images/ksclogo-medium.gif	29004	152046720	8206
199529	/history/apollo/images/apollo-logo1.gif	23964	25055280	6901
199529	/images/launch-logo.gif	21006	31471236	5965
199529	/ksc.html	19540	130686222	4741
199529	/	16612	104268966	5214
199529	/images/ksclogosmall.gif	14888	48861670	5462
199529	/shuttle/missions/sts-70/sts-70-patch-small.gif	13236	67856348	3615
199529	/shuttle/countdown/count70.gif	12412	526748522	4187
199529	/shuttle/missions/missions.html	11602	91795884	3903
199529	/shuttle/countdown/	11514	45113270	3866
199529	/shuttle/missions/sts-70/mission-sts-70.html	9826	155284456	3250
199529	/images/launchmedium.gif	9590	106345116	3442
199529	/icons/menu.xbm	8378	4026280	2899
199529	/icons/blank.xbm	8338	3855166	2900
199529	/history/apollo/images/footprint-logo.gif	7438	28410750	2708
199530	/images/NASA-logosmall.gif	29436	19756896	8314
199530	/images/KSC-logosmall.gif	24614	25007080	8446
199530	/images/MOSAIC-logosmall.gif	22444	7151100	6434
199530	/images/USA-logosmall.gif	22348	4586868	6397
199530	/images/WORLD-logosmall.gif	22172	13060218	6330
199530	/images/ksclogo-medium.gif	21430	111829424	5950
199530	/ksc.html	14570	99864532	3476
199530	/history/apollo/images/apollo-logo1.gif	13468	13796826	4639
199530	/images/launch-logo.gif	11828	17445192	4086
199530	/	11784	76225960	3742
199530	/images/ksclogosmall.gif	9978	33231170	3791
199530	/shuttle/missions/missions.html	7892	64125150	2751
199530	/images/launchmedium.gif	6856	75930318	2431
199530	/shuttle/countdown/count70.gif	6006	258196162	2282
199530	/icons/menu.xbm	5474	2673998	2020
199530	/icons/blank.xbm	5418	2552126	2024
199530	/shuttle/countdown/	5380	21395152	2080
199530	/shuttle/missions/sts-69/mission-sts-69.html	5164	34727632	1676
199530	/shuttle/missions/sts-70/sts-70-patch-small.gif	4658	25932564	1796
199530	/history/apollo/images/footprint-logo.gif	4606	17745144	1763
199531	/images/NASA-logosmall.gif	21918	14993736	6821
199531	/images/KSC-logosmall.gif	17698	18368224	6562
199531	/images/MOSAIC-logosmall.gif	17246	5609076	5535
199531	/images/USA-logosmall.gif	17188	3603600	5499
199531	/images/WORLD-logosmall.gif	17034	10227672	5426
199531	/images/ksclogo-medium.gif	16454	87250884	5018
199531	/ksc.html	11192	76381360	3065
199531	/	8782	56392988	2981
199531	/history/apollo/images/apollo-logo1.gif	8486	9029754	3277
199531	/images/launch-logo.gif	7580	11703216	2935
199531	/images/ksclogosmall.gif	7108	23823790	2815
199531	/shuttle/countdown/	5426	23562202	2088
199531	/shuttle/missions/missions.html	5196	41771078	1986
199531	/shuttle/missions/sts-69/count69.gif	4704	206537494	1800
199531	/images/launchmedium.gif	4612	50944194	1744
199531	/shuttle/missions/sts-69/mission-sts-69.html	4218	44846368	1582
199531	/shuttle/missions/sts-69/sts-69-patch-small.gif	3960	29341290	1611
199531	/icons/menu.xbm	3642	1781260	1311
199531	/icons/blank.xbm	3588	1689880	1315
199531	/icons/image.xbm	3144	1504604	1114
199532	/images/NASA-logosmall.gif	42884	28068060	12105
199532	/images/KSC-logosmall.gif	36072	37186744	12837
199532	/images/MOSAIC-logosmall.gif	30494	9679032	8701
199532	/images/USA-logosmall.gif	30326	6213168	8641
199532	/images/WORLD-logosmall.gif	30072	17697726	8581
199532	/images/ksclogo-medium.gif	28812	147952252	7774
199532	/ksc.html	19718	133648184	4582
199532	/history/apollo/images/apollo-logo1.gif	19382	20215482	7168
199532	/images/launch-logo.gif	17860	27055122	6640
199532	/	14220	89164394	4686
199532	/images/ksclogosmall.gif	13894	46004560	5384
199532	/shuttle/missions/sts-69/mission-sts-69.html	12932	134694912	4691
199532	/shuttle/missions/sts-69/sts-69-patch-small.gif	12088	88137032	4604
199532	/shuttle/missions/sts-69/count69.gif	11792	500541142	4325
199532	/shuttle/countdown/	11786	50571206	4532
199532	/shuttle/missions/missions.html	11360	91334102	4288
199532	/images/launchmedium.gif	9882	109498014	3776
199532	/icons/blank.xbm	6664	2877886	2320
199532	/icons/menu.xbm	6652	3009170	2315
199532	/icons/image.xbm	5778	2518532	1968
199533	/images/NASA-logosmall.gif	40764	27186168	11620
199533	/images/KSC-logosmall.gif	35564	36303008	12558
199533	/images/MOSAIC-logosmall.gif	29978	9398070	8478
199533	/images/USA-logosmall.gif	29806	6021756	8414
199533	/images/WORLD-logosmall.gif	29522	17052810	8337
199533	/images/ksclogo-medium.gif	27972	142273964	7506
199533	/ksc.html	19582	129042576	4625
199533	/history/apollo/images/apollo-logo1.gif	19290	20032494	7127
199533	/images/launch-logo.gif	17968	27044844	6697
199533	/	13292	80751444	4350
199533	/images/ksclogosmall.gif	13174	43525490	5102
199533	/shuttle/missions/sts-69/mission-sts-69.html	13130	147645592	4821
199533	/shuttle/missions/sts-69/sts-69-patch-small.gif	12174	89065462	4687
199533	/shuttle/missions/missions.html	11434	91039084	4289
199533	/shuttle/countdown/	10800	45159872	4149
199533	/shuttle/missions/sts-69/count69.gif	10602	440741334	3929
199533	/images/launchmedium.gif	10180	110493666	3823
199533	/icons/menu.xbm	5428	2506412	1918
199533	/icons/blank.xbm	5376	2378048	1923
199533	/history/history.html	5170	7641540	2043
199534	/images/NASA-logosmall.gif	42434	27733224	11252
199534	/images/KSC-logosmall.gif	34722	35291648	12231
199534	/images/MOSAIC-logosmall.gif	32202	10046388	8835
199534	/images/USA-logosmall.gif	32034	6438276	8778
199534	/images/WORLD-logosmall.gif	31724	18275742	8702
199534	/images/ksclogo-medium.gif	29262	148820420	7472
199534	/ksc.html	20798	139569344	4591
199534	/history/apollo/images/apollo-logo1.gif	17474	17806140	6415
199534	/images/launch-logo.gif	16406	24437658	6049
199534	/	13450	84721350	4316
199534	/shuttle/missions/sts-69/mission-sts-69.html	11798	136665394	4290
199534	/images/ksclogosmall.gif	11638	38094800	4537
199534	/shuttle/missions/sts-69/sts-69-patch-small.gif	11164	83513556	4227
199534	/shuttle/countdown/	10420	45990788	3879
199534	/shuttle/missions/missions.html	10274	81199366	3823
199534	/shuttle/missions/sts-69/count69.gif	10200	417236574	3668
199534	/images/launchmedium.gif	9150	99185904	3418
199534	/software/winvn/winvn.html	5834	49182768	2347
199534	/software/winvn/winvn.gif	5046	109345248	2113
199534	/icons/menu.xbm	4986	2299828	1855
199535	/images/NASA-logosmall.gif	46784	24326700	9294
199535	/images/KSC-logosmall.gif	26618	26370008	9072
199535	/images/MOSAIC-logosmall.gif	24976	7657122	6627
199535	/images/USA-logosmall.gif	24782	4892004	6571
199535	/images/WORLD-logosmall.gif	24536	13865694	6512
199535	/images/ksclogo-medium.gif	23056	114832816	5728
199535	/htbin/cdt_main.pl	19482	74395752	2691
199535	/ksc.html	16082	105739524	3469
199535	/shuttle/countdown/images/countclock.gif	13062	89421660	2358
199535	/shuttle/missions/sts-69/count69.gif	11468	446983256	3718
199535	/history/apollo/images/apollo-logo1.gif	11020	11117694	4047
199535	/	10918	64141272	3372
199535	/shuttle/countdown/	10488	42277950	3489
199535	/images/launch-logo.gif	10462	15362184	3819
199535	/htbin/cdt_clock.pl	10336	7253910	1196
199535	/images/ksclogosmall.gif	9806	31479100	3660
199535	/shuttle/missions/sts-69/sts-69-patch-small.gif	7424	52523334	2724
199535	/shuttle/countdown/liftoff.html	7382	40163196	1979
199535	/shuttle/missions/sts-69/mission-sts-69.html	7134	94025396	2424
199535	/shuttle/missions/missions.html	6642	52200832	2468

===== Apache-Hive =====
NO_ROWS
