Query 3 - Hourly Error Analysis
Generated at: 2026-05-16 19:31:37 IST
Hadoop run_id: 29
Pig run_id: 30
Hive run_id (successful): NONE
Hive last attempted run_id: 36
Hive note: current Hive environment did not produce result rows in q tables yet.

===== Hadoop-MapReduce =====
batch_id	log_date	log_hour	error_request_count	total_request_count	error_rate	distinct_error_hosts
199532	1995-08-10	5	1	1258	0.000795	1
199532	1995-08-10	6	5	1235	0.004049	3
199532	1995-08-10	7	11	2154	0.005107	8
199532	1995-08-10	8	10	3028	0.003303	6
199532	1995-08-10	9	6	3258	0.001842	6
199532	1995-08-10	10	31	3764	0.008236	12
199532	1995-08-10	11	2	3570	0.00056	2
199532	1995-08-10	12	18	3972	0.004532	11
199532	1995-08-10	13	18	3975	0.004528	13
199532	1995-08-10	14	14	4186	0.003344	13
199532	1995-08-10	15	16	4706	0.0034	10
199532	1995-08-10	16	11	3441	0.003197	5
199532	1995-08-10	17	25	3142	0.007957	14
199532	1995-08-10	18	6	2143	0.0028	5
199532	1995-08-10	19	14	2315	0.006048	8
199532	1995-08-10	20	18	2028	0.008876	10
199532	1995-08-10	21	8	2157	0.003709	5
199532	1995-08-10	22	18	2572	0.006998	7
199532	1995-08-10	23	12	1779	0.006745	5
199532	1995-08-11	0	4	1504	0.00266	4
199532	1995-08-11	1	2	1313	0.001523	2
199532	1995-08-11	2	11	1324	0.008308	4
199532	1995-08-11	3	5	1154	0.004333	4
199532	1995-08-11	4	13	994	0.013078	6
199532	1995-08-11	5	0	1162	0	0
199532	1995-08-11	6	5	1435	0.003484	3
199532	1995-08-11	7	11	1986	0.005539	6
199532	1995-08-11	8	11	2653	0.004146	8
199532	1995-08-11	9	9	3421	0.002631	8
199532	1995-08-11	10	9	3830	0.00235	8
199532	1995-08-11	11	4	3476	0.001151	3
199532	1995-08-11	12	43	4559	0.009432	13
199532	1995-08-11	13	6	4189	0.001432	4
199532	1995-08-11	14	29	4686	0.006189	11
199532	1995-08-11	15	28	4726	0.005925	15
199532	1995-08-11	16	23	4050	0.005679	9
199532	1995-08-11	17	21	3132	0.006705	8
